rounds,time
0,0.05
80,5.67
79,4.52
78,3.36
77,3.36
76,5.80
75,6.96
74,2.64
73,3.76
72,1.03
71,6.34
70,1.33
69,6.09
68,2.58
67,2.61
66,5.37
65,3.93
64,1.81
63,1.33
62,1.98
61,2.16
60,7.18
59,2.16
58,0.58
57,1.58
56,0.78
55,1.82
54,4.58
53,3.19
52,1.61
51,3.33
50,0.64
49,1.04
48,0.51
47,2.80
46,3.60
45,1.42
44,1.92
43,0.70
42,0.68
41,1.52
40,0.58
39,1.74
38,2.24
37,1.53
36,1.01
35,4.03
34,0.52
33,0.43
32,0.91
31,0.37
30,0.51
29,0.48
28,0.58
27,0.72
26,0.22
25,0.27
24,1.10
23,0.64
22,0.21
21,0.70
20,0.63
19,0.84
18,1.62
17,0.37
16,1.32
15,0.36
14,0.45
13,0.71
12,0.18
11,0.22
10,0.32
9,0.08
8,0.15
7,0.19
6,0.09
5,0.07
4,0.06
3,0.05
2,0.05
1,0.05
0,0.05
80,3.30
79,9.93
78,1.23
77,1.64
76,0.92
75,2.68
74,6.35
73,3.02
72,5.27
71,4.18
70,1.40
69,4.76
68,4.14
67,2.69
66,3.78
65,2.18
64,1.53
63,4.70
62,2.92
61,4.78
60,0.64
59,10.43
58,6.09
57,1.83
56,2.31
55,1.84
54,1.76
53,2.48
52,1.89
51,4.10
50,0.59
49,1.14
48,2.69
47,4.11
46,1.16
45,5.24
44,0.56
43,0.51
42,1.26
41,1.33
40,0.83
39,1.01
38,3.30
37,1.78
36,0.40
35,0.60
34,0.42
33,0.63
32,1.37
31,0.64
30,1.06
29,0.40
28,0.26
27,1.57
26,1.77
25,0.43
24,0.35
23,0.20
22,0.34
21,0.29
20,0.55
19,0.56
18,0.17
17,0.80
16,0.71
15,0.44
14,0.26
13,0.31
12,0.18
11,0.13
10,0.11
9,0.12
8,0.24
7,0.08
6,0.10
5,0.06
4,0.06
3,0.06
2,0.05
1,0.04
0,0.04
80,3.50
79,2.60
78,1.83
77,5.41
76,4.02
75,2.38
74,2.37
73,1.59
72,3.14
71,2.26
70,2.31
69,2.70
68,2.67
67,10.14
66,3.26
65,5.41
64,0.97
63,10.19
62,16.54
61,5.51
60,3.31
59,2.72
58,1.33
57,0.99
56,3.98
55,1.88
54,5.43
53,5.98
52,2.90
51,3.20
50,3.40
49,0.66
48,2.22
47,2.96
46,1.31
45,0.84
44,0.61
43,1.15
42,2.20
41,2.54
40,1.16
39,1.52
38,0.57
37,3.11
36,0.42
35,1.15
34,0.48
33,0.89
32,0.72
31,0.33
30,0.89
29,0.80
28,1.09
27,1.90
26,0.37
25,0.68
24,0.78
23,0.99
22,0.60
21,0.23
20,0.24
19,0.79
18,0.23
17,0.29
16,0.22
15,0.42
14,0.16
13,0.22
12,0.13
11,0.26
10,0.12
9,0.08
8,0.14
7,0.12
6,0.09
5,0.07
4,0.06
3,0.05
2,0.05
1,0.04
0,0.05
80,1.11
79,3.86
78,1.46
77,2.05
76,3.36
75,2.93
74,8.53
73,2.44
72,2.32
71,4.79
70,8.62
69,1.70
68,0.99
67,1.69
66,1.09
65,1.20
64,2.84
63,1.29
62,2.50
61,6.28
60,3.89
59,4.80
58,3.97
57,2.73
56,2.83
55,1.06
54,4.61
53,4.86
52,0.85
51,7.15
50,2.80
49,0.88
48,3.90
47,0.68
46,0.75
45,1.05
44,4.55
43,0.59
42,2.41
41,1.14
40,0.61
39,0.94
38,0.38
37,0.94
36,1.00
35,0.65
34,0.48
33,0.33
32,0.28
31,0.33
30,0.30
29,0.26
28,0.30
27,0.83
26,1.01
25,0.36
24,0.67
23,0.38
22,0.37
21,0.17
20,0.18
